date	author
20 January 2020	Salvador Bayarri  ESRI	..\www.web3d.org\x3d\content\examples\Basic\Geospatial\MarsLOD003.json
20 January 2020	Salvador Bayarri  ESRI	..\www.web3d.org\x3d\content\examples\Basic\Geospatial\MarsLOD002.json
20 January 2020	Salvador Bayarri  ESRI	..\www.web3d.org\x3d\content\examples\Basic\Geospatial\MarsLOD001.json
20 January 2020	Salvador Bayarri  ESRI	..\www.web3d.org\x3d\content\examples\Basic\Geospatial\MarsLOD000.json
20 January 2020	Salvador Bayarri  ESRI	..\www.web3d.org\x3d\content\examples\Basic\Geospatial\Mars.json
20 October 2019	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\Geospatial\KmlPrototypes.json
24 November 2008	Byounghyun Yoo  Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\Geospatial\HelloEarthOpenStreetMap.json
25 February 2009	Byounghyun Yoo  Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\Geospatial\HelloEarthOpenAerialMap.json
1 November 2007	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\Geospatial\HelloEarth.json
19 January 2020	John Brecht  SRI International	..\www.web3d.org\x3d\content\examples\Basic\Geospatial\GeoTouchSensorExample.json
22 November 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\Geospatial\GeoSpatialExternProtoDeclarations.json
3 June 2008	Byounghyun Yoo	..\www.web3d.org\x3d\content\examples\Basic\Geospatial\GeospatialCoordinateAxesNsewExample.json
4 March 2010	Don Brutzman  Dale Tourtelotte  Mike Bailey  Don McGregor	..\www.web3d.org\x3d\content\examples\Basic\Geospatial\CaliforniaCampusesTour5Altitudes.json
4 March 2010	Don Brutzman  Dale Tourtelotte  Mike Bailey  Don McGregor	..\www.web3d.org\x3d\content\examples\Basic\Geospatial\CaliforniaCampusesTour4Altitudes.json
4 March 2010	Don Brutzman  Dale Tourtelotte  Mike Bailey  Don McGregor	..\www.web3d.org\x3d\content\examples\Basic\Geospatial\CaliforniaCampusesTour3Altitudes.json
4 March 2010	Don Brutzman  Dale Tourtelotte  Mike Bailey  Don McGregor	..\www.web3d.org\x3d\content\examples\Basic\Geospatial\CaliforniaCampuses.json
20 October 2019	GeoVRML Working Group	..\www.web3d.org\x3d\content\examples\Basic\Geospatial\BoxSimple.json
20 October 2019	GeoVRML Working Group	..\www.web3d.org\x3d\content\examples\Basic\Geospatial\Box.json
26 June 2000	Don Brutzman NPS  X3D encoding	..\www.web3d.org\x3d\content\examples\Basic\Geospatial\A5_GeoOrigin.json
26 June 2000	Don Brutzman NPS  X3D encoding	..\www.web3d.org\x3d\content\examples\Basic\Geospatial\A4_GeoLocation.json
26 June 2000	Don Brutzman NPS  X3D encoding	..\www.web3d.org\x3d\content\examples\Basic\Geospatial\A3_GeoInline.json
26 June 2000	Don Brutzman NPS  X3D encoding	..\www.web3d.org\x3d\content\examples\Basic\Geospatial\A2_AnimatedGeoViewpoint.json
26 June 2000	Don Brutzman NPS  X3D encoding	..\www.web3d.org\x3d\content\examples\Basic\Geospatial\A1_GeoElevationGrid.json
25 May 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\X3dRetreatProtoExercise.json
21 April 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\WrapperTagsExample.json
5 May 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\WelcomeToWWW9.json
28 February 2009	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\ViewpointGroupTest.json
29 October 2003	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\ViewpointGroupPrototype.json
4 November 2003	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\ViewpointGroupExample.json
4 July 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\UseNodeExample.json
23 January 2001	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\UnquotedTokensNavigationInfoAndFontStyle.json
9 April 2002	Aaron Walsh  Mantiscorp Development	..\www.web3d.org\x3d\content\examples\Basic\development\UnderstandingSceneGraphsTouchToLight.json
7 April 2001	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\TextExamples.json
25 July 2001	Jeffrey Weekley and Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\TestViewpointJump.json
01 January 1969	Unknown	..\www.web3d.org\x3d\content\examples\Basic\development\TestSchematronDiagnostics.json
01 January 1969	Unknown	..\www.web3d.org\x3d\content\examples\Basic\development\TestRegularExpressionChecks.json
4 April 2009	Don Brutzman and Jeff Weekley	..\www.web3d.org\x3d\content\examples\Basic\development\TestPrototypeInterpolators.json
4 January 2006	Alan Hudson  Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\TestProtoInterfaceNodeScope.json
25 October 2020	Michalis Kamburelis  Dick Puk  Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\TestProtoDeclareDisconnectedField.json
19 May 2001	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\TestOrientationInterpolatorSize.json
12 March 2005	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\TestMetadataNodes.json
29 March 2015	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\TestJsonEncoding.json
7 September 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\TestFieldChecks.json
14 July 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\TestDoctype.json
01 January 1969	Unknown	..\www.web3d.org\x3d\content\examples\Basic\development\TestDiagnosticOverloadedChildNodes.json
23 May 2003	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\TestContainerFieldValues.json
24 March 2002	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\TestColorCount.json
18 September 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\SpinGroupInternalSubsetDeclaration.json
7 November 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\ShapeChildRoutingExample.json
8 January 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\ScriptSyntaxExampleTest.json
1 October 2002	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\SchemaTest.json
19 December 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\SceneNodePrototype.json
17 November 2003	Don Brutzman  George Dabrowski  Ken Curtin  Duane Davis  Christos Kalogrias	..\www.web3d.org\x3d\content\examples\Basic\development\RenderingComponentPrototypes.json
17 November 2003	Don Brutzman  Ken Curtin  Duane Davis  Christos Kalogrias	..\www.web3d.org\x3d\content\examples\Basic\development\RenderingComponentExternProtoDefinitions.json
17 November 2003	Don Brutzman  Ken Curtin  Duane Davis  Christos Kalogrias	..\www.web3d.org\x3d\content\examples\Basic\development\RenderingComponentExamples.json
26 June 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\QuadTreeExamples.json
14 January 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\ProxyShapeExample.json
17 April 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\ProtoTagDtdDeclarationExamples.json
25 February 2000	Rick Goldberg  Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\ProtoMFNodeSensorExample.json
26 June 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\ProtoInstanceExample.json
6 January 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\ProfileExampleInterchange.json
16 October 2001	Don Brutzman  Jeff Weekley  Jane Wu	..\www.web3d.org\x3d\content\examples\Basic\development\PositionInterpolator2dPrototype.json
16 October 2001	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\PositionInterpolator2dExample.json
14 April 2008	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\PixelTextureInterpolatorPrototype.json
22 July 2007	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\PhysicalUnitRepresentationPrototypes.json
21 July 2001	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\Orbiter.json
17 November 2003	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\MetadataPrototypes.json
17 November 2003	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\MetadataExamples.json
17 December 2006	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\MaterialExample.json
26 May 2004	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\LODlevelChangedExample.json
26 December 2003	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\LoadSensorPrototype.json
16 August 2002	Don Brutzman  Alan Hudson	..\www.web3d.org\x3d\content\examples\Basic\development\LoadSensorExample.json
13 March 2006	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\LfovDisplayExemplars.json
8 July 2001	Mr. Philip Sand Hansel II  mr.phillip@home.com	..\www.web3d.org\x3d\content\examples\Basic\development\KeySensorActivationKeySwitchTestInterchange.json
8 July 2001	Mr. Philip Sand Hansel II  mr.phillip@home.com	..\www.web3d.org\x3d\content\examples\Basic\development\KeySensorActivationKeySwitchTestInteractive.json
22 June 2001	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\KeySensorActivationKeySwitchTest.json
20 August 2001	Don Brutzman  Estuko Lippi  Jeff Weekley  Jane Wu  Matthew Braun	..\www.web3d.org\x3d\content\examples\Basic\development\IntegerSequencerPrototype.json
13 April 2002	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\IntegerSequencerExample.json
19 January 2003	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\ImportExportSyntax.json
6 June 2001	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\HelloX3dTrademark.json
14 July 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\HelloX3dDay2001.json
9 January 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\HelloWWW9.json
30 October 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\HelloWorld.json
9 January 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\HelloSiggraph2003.json
14 July 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\HelloSiggraph2000.json
28 February 2002	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\HeaderExample.json
14 November 2003	Christos Kalogrias  Don Brutzman  Ken Curtin  Duane Davis	..\www.web3d.org\x3d\content\examples\Basic\development\Geometry2dComponentPrototypes.json
16 November 2003	Christos Kalogrias  Don Brutzman  Ken Curtin  Duane Davis	..\www.web3d.org\x3d\content\examples\Basic\development\Geometry2dComponentExternProtos.json
16 November 2003	Christos Kalogrias  Don Brutzman  Ken Curtin  Duane Davis	..\www.web3d.org\x3d\content\examples\Basic\development\Geometry2dComponentExamples.json
21 April 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\ExampleExternPrototype2.json
26 June 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\ExampleExternPrototype1.json
25 September 2002	Nick Polys  Tony Parisi  Don Brutzman  Justin Couch	..\www.web3d.org\x3d\content\examples\Basic\development\EventUtilityPrototypes.json
3 November 2002	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\EventUtilityExamples.json
16 January 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\ECMAScriptAnnexExample2.json
28 June 2001	Don Brutzman  Jeff Weekley  Jane Wu	..\www.web3d.org\x3d\content\examples\Basic\development\CoordinateInterpolator2dPrototype.json
9 October 2001	Don Brutzman  Jeff Weekley  Jane Wu	..\www.web3d.org\x3d\content\examples\Basic\development\CoordinateInterpolator2dExample.json
2 June 2009	Jeff Weekley and Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\CameraShape.json
16 March 2009	Don Brutzman and Jeff Weekley	..\www.web3d.org\x3d\content\examples\Basic\development\CameraPrototypes.json
18 June 2009	Don Brutzman and Jeff Weekley	..\www.web3d.org\x3d\content\examples\Basic\development\CameraExamples.json
5 March 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\BradenPrototypeInitializeExample.json
7 August 2001	Don Brutzman  Estuko Lippi  Jeff Weekley  Jane Wu	..\www.web3d.org\x3d\content\examples\Basic\development\BooleanSequencerPrototype.json
10 August 2001	Don Brutzman  Estuko Lippi  Jeff Weekley  Jane Wu	..\www.web3d.org\x3d\content\examples\Basic\development\BooleanSequencerExample.json
14 November 2003	Christos Kalogrias  Don Brutzman  Ken Curtin  Duane Davis	..\www.web3d.org\x3d\content\examples\Basic\development\Arc2dComponentPrototype.json
1 December 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\AmelaExampleScene.json
1 January 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\development\AllVrml97Nodes.json
6 May 2003	Miriam English	..\www.web3d.org\x3d\content\examples\Basic\development\AdditiveSubtractiveLight.json
19 April 2013	Leonard Daly  Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\CAD\QuadSetExample.json
21 May 2013	Vincent Marchetti	..\www.web3d.org\x3d\content\examples\Basic\CAD\QuadSetColor.json
6 May 2013	Vincent Marchetti	..\www.web3d.org\x3d\content\examples\Basic\CAD\KeyFobWeb3d2013Spain.json
6 May 2013	Vincent Marchetti	..\www.web3d.org\x3d\content\examples\Basic\CAD\KeyFobWeb3d2013BasqueCountry.json
19 May 2013	Vincent Marchetti	..\www.web3d.org\x3d\content\examples\Basic\CAD\IndexedQuadSetTexture.json
15 October 2005	Andrew Grieve  Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\CAD\IndexedQuadSetExample.json
20 February 2013	Nicholas Polys  Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\CAD\ClipPlaneExample.json
25 July 2012	Hyokwang Lee  PartDB Co.  Ltd.	..\www.web3d.org\x3d\content\examples\Basic\CAD\CatiaHubGasket.json
25 July 2012	Hyokwang Lee  PartDB Co.  Ltd.	..\www.web3d.org\x3d\content\examples\Basic\CAD\CatiaHubDiscWithHoles.json
25 July 2012	Hyokwang Lee  PartDB Co.  Ltd.	..\www.web3d.org\x3d\content\examples\Basic\CAD\CatiaHubCap.json
25 July 2012	Hyokwang Lee  PartDB Co.  Ltd.	..\www.web3d.org\x3d\content\examples\Basic\CAD\CatiaHubBushing.json
25 July 2012	Hyokwang Lee  PartDB Co.  Ltd.	..\www.web3d.org\x3d\content\examples\Basic\CAD\CatiaHubAssemblyInline.json
25 July 2012	Hyokwang Lee  PartDB Co.  Ltd.	..\www.web3d.org\x3d\content\examples\Basic\CAD\CatiaHubAssemblyCombined.json
1 December 2005	Alan Hudson  Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\CAD\CadTeapot.json
29 June 2012	Vince Marchetti  Don Brutzman  Hyokwang Lee  Dick Puk	..\www.web3d.org\x3d\content\examples\Basic\CAD\CADPartChildTransformationAlternativeC.json
29 June 2012	Vince Marchetti  Don Brutzman  Hyokwang Lee  Dick Puk	..\www.web3d.org\x3d\content\examples\Basic\CAD\CADPartChildTransformationAlternativeB.json
29 June 2012	Vince Marchetti  Don Brutzman  Hyokwang Lee  Dick Puk	..\www.web3d.org\x3d\content\examples\Basic\CAD\CADPartChildTransformationAlternativeA.json
29 June 2012	Vince Marchetti  Don Brutzman  Hyokwang Lee  Dick Puk	..\www.web3d.org\x3d\content\examples\Basic\CAD\CADPartChildNoTransformation.json
28 April 2005	Travis Rauch  Alan Shaffer  Mounir Sidhom  Patrick Sullivan and Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\CAD\CadGeometryPrototypes.json
28 April 2005	Travis Rauch  Alan Shaffer  Mounir Sidhom  Patrick Sullivan and Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\CAD\CadGeometryExternPrototypes.json
24 June 2012	Vince Marchetti  Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\CAD\CadDesignPatternExampleBushing.json
29 October 2000	Don Brutzman and MV4204 class	..\www.web3d.org\x3d\content\examples\Basic\course\SimpleExtrusionShipHull.json
31 August 2000	Don Brutzman and MV4204 class	..\www.web3d.org\x3d\content\examples\Basic\course\SimpleCarrierHull.json
8 July 2000	MV4204 class	..\www.web3d.org\x3d\content\examples\Basic\course\PyramidWithAxes.json
8 July 2000	MV4204 class	..\www.web3d.org\x3d\content\examples\Basic\course\Pyramid.json
1 November 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\course\PositionInterpolatorExample.json
15 July 2003	Jeffrey Weekley	..\www.web3d.org\x3d\content\examples\Basic\course\ModelOrientation.json
5 October 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\course\HelloX3dAuthorsAnimationChain.json
5 October 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\course\HelloX3dAuthors.json
8 November 2001	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\course\GroupFormation.json
8 July 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\course\GeometryExample.json
14 February 2001	Class participants in course Introduction to VRML/X3D.	..\www.web3d.org\x3d\content\examples\Basic\course\ExtrusionHeart.json
3 September 2005	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\course\ExtrusionExampleShip.json
22 November 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\course\ExtrusionCrossSectionPrototype.json
31 August 2003	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\course\ExtrusionCrossSectionExampleTorus.json
20 December 1999	Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\course\ExtrusionCrossSectionExampleShip.json
3 May 2007	originally by Vincent Gardet  revised by Curt Blais  adapted to X3D by Don Brutzman and MV4205 class	..\www.web3d.org\x3d\content\examples\Basic\course\CreateX3DFromStringRandomSpheres.json
23 April 2002	Vincent Gardet	..\www.web3d.org\x3d\content\examples\Basic\course\CreateVrmlFromStringRandomBoxes.json
10 September 2000	Becky and Don Brutzman	..\www.web3d.org\x3d\content\examples\Basic\course\BeckyRoadOverpass.json
1 June 1997	Haruna R. Isa  LT USN	..\www.web3d.org\x3d\content\examples\Savage\Weapons\Torpedoes\SearchScenarioGrid.json
1 June 1997	Haruna R. Isa	..\www.web3d.org\x3d\content\examples\Savage\Weapons\Torpedoes\Mk48Torpedo.json
7 April 2003	Jeffrey Weekley and UW3303 course	..\www.web3d.org\x3d\content\examples\Savage\Weapons\Torpedoes\Mk46Torpedo.json
4 September 2001	James Harney	..\www.web3d.org\x3d\content\examples\Savage\Weapons\Missiles\TomahawkPrototype.json
4 September 2001	James Harney	..\www.web3d.org\x3d\content\examples\Savage\Weapons\Missiles\TomahawkExample.json
22 September 2003	Turgut AKGUL	..\www.web3d.org\x3d\content\examples\Savage\Weapons\Missiles\StingerScenario.json
22 September 2003	Turgut AKGUL	..\www.web3d.org\x3d\content\examples\Savage\Weapons\Missiles\Stinger.json
13 July 2003	Murat ONDER  LTJG  Turkish Navy	..\www.web3d.org\x3d\content\examples\Savage\Weapons\Missiles\Sidewinder.json
6 November 2001	Jeffrey D. Weekley	..\www.web3d.org\x3d\content\examples\Savage\Weapons\Missiles\ScudB.json
28 January 2004	Oliver Tan	..\www.web3d.org\x3d\content\examples\Savage\Weapons\Missiles\RapierMissileSystemPrototype.json
12 February 2004	Oliver Tan	..\www.web3d.org\x3d\content\examples\Savage\Weapons\Missiles\RapierMissileSystemExample.json
14 January 2004	Oliver Tan	..\www.web3d.org\x3d\content\examples\Savage\Weapons\Missiles\RapierMissilePrototype.json
12 February 2004	Oliver Tan	..\www.web3d.org\x3d\content\examples\Savage\Weapons\Missiles\RapierMissileExample.json
28 January 2004	Oliver Tan	..\www.web3d.org\x3d\content\examples\Savage\Weapons\Missiles\RapierLauncherSystem.json
14 September 2001	James Harney	..\www.web3d.org\x3d\content\examples\Savage\Weapons\Missiles\MultipleExplosionPrototype.json
13 October 2002	James Harney	..\www.web3d.org\x3d\content\examples\Savage\Weapons\Missiles\MultipleExplosionExample.json
9 August 2001	James Harney	..\www.web3d.org\x3d\content\examples\Savage\Weapons\Missiles\MissileLaunch.json
25 August 2001	James Harney	..\www.web3d.org\x3d\content\examples\Savage\Weapons\Missiles\MissileExplosionPrototype.json
13 October 2002	James Harney	..\www.web3d.org\x3d\content\examples\Savage\Weapons\Missiles\MissileExplosionExample.json
9 August 2001	James Harney	..\www.web3d.org\x3d\content\examples\Savage\Weapons\Missiles\Launchers.json
9 August 2001	James Harney	..\www.web3d.org\x3d\content\examples\Savage\Weapons\Missiles\HarpoonPrototype.json
13 October 2002	James Harney	..\www.web3d.org\x3d\content\examples\Savage\Weapons\Missiles\HarpoonExample.json
13 July 2003	Murat ONDER  LTJG  Turkish Navy	..\www.web3d.org\x3d\content\examples\Savage\Weapons\Missiles\Amraam.json
9 March 2007	LCDR Mike Milliken USN  MOVES	..\www.web3d.org\x3d\content\examples\Savage\Weapons\Missiles\ALCMFolded.json
9 March 2007	LCDR Mike Milliken USN  MOVES	..\www.web3d.org\x3d\content\examples\Savage\Weapons\Missiles\ALCMExtended.json
9 April 2009	Dale R. Tourtelotte	..\www.web3d.org\x3d\content\examples\Savage\Weapons\Missiles\AIM9X.json
9 April 2009	Dale R. Tourtelotte	..\www.web3d.org\x3d\content\examples\Savage\Weapons\Missiles\AIM9M.json
26 July 2004	Major Axel Weber	..\www.web3d.org\x3d\content\examples\Savage\Weapons\Missiles\AIM120Missile.json
20 January 2005	Al Shaffer	..\www.web3d.org\x3d\content\examples\Savage\Weapons\Missiles\AGM65MaverickViewAnchors.json
20 January 2005	Al Shaffer	..\www.web3d.org\x3d\content\examples\Savage\Weapons\Missiles\AGM65Maverick.json
21 December 2001	Etsuko Lippi	..\www.web3d.org\x3d\content\examples\Savage\Weapons\SmallArms\RifleM24Prototype.json
31 Decmember 2001	Etsuko Lippi	..\www.web3d.org\x3d\content\examples\Savage\Weapons\SmallArms\RifleM24Example.json
27 February 2016	Matt Pritchard	..\www.web3d.org\x3d\content\examples\Savage\Weapons\SmallArms\M4.json
26 June 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\Savage\Weapons\UnderwaterMines\SphericalMinePrototype.json
26 June 2000	Don Brutzman	..\www.web3d.org\x3d\content\examples\Savage\Weapons\UnderwaterMines\SphericalMineExample.json
21 March 1999	Don Brutzman	..\www.web3d.org\x3d\content\examples\Savage\Weapons\UnderwaterMines\SonarReflectorDecoyBox.json
2 November 1999	Don Brutzman	..\www.web3d.org\x3d\content\examples\Savage\Weapons\UnderwaterMines\Rockan.json
15 October 2001	Don Brutzman  Jeff Weekley  Frederic Roussille and Jane Wu	..\www.web3d.org\x3d\content\examples\Savage\Weapons\UnderwaterMines\ReportedContactPrototype.json
15 October 2001	Don Brutzman	..\www.web3d.org\x3d\content\examples\Savage\Weapons\UnderwaterMines\ReportedContactExample.json
20 March 2001	Don Brutzman and Jeff Weekley  LAX Gate 65	..\www.web3d.org\x3d\content\examples\Savage\Weapons\UnderwaterMines\Pdm1BottomMinePrototype.json
20 March 2001	Don Brutzman and Jeff Weekley  LAX Gate 65	..\www.web3d.org\x3d\content\examples\Savage\Weapons\UnderwaterMines\Pdm1BottomMineExample.json
2 February 2015	Marlon Heron and Don Brutzman	..\www.web3d.org\x3d\content\examples\Savage\Weapons\UnderwaterMines\MineTrainingShape.json
8 May 2001	Frederic Roussille	..\www.web3d.org\x3d\content\examples\Savage\Weapons\UnderwaterMines\MantaMinePrototype.json
15 October 2001	Don Brutzman	..\www.web3d.org\x3d\content\examples\Savage\Weapons\UnderwaterMines\MantaMineExample.json
8 May 2001	Frederic Roussille	..\www.web3d.org\x3d\content\examples\Savage\Weapons\UnderwaterMines\Manta.json
24 July 2003	William W. Yates	..\www.web3d.org\x3d\content\examples\Savage\Weapons\Guns\RifledRecoilingMortar120mm.json
14 March 2002	James Harney	..\www.web3d.org\x3d\content\examples\Savage\Weapons\Guns\NonLethalNetLauncherPrototype.json
7 January 2004	J.P. McDonough	..\www.web3d.org\x3d\content\examples\Savage\Weapons\Guns\M198HowitzerWithExplosion.json
7 January 2004	J.P. McDonough	..\www.web3d.org\x3d\content\examples\Savage\Weapons\Guns\M198Howitzer.json
8 June 2001	Jeffrey Weekley	..\www.web3d.org\x3d\content\examples\Savage\Weapons\Guns\Lightweight155mmHowitzerCrank.json
5 June 2001	Jeffrey Weekley	..\www.web3d.org\x3d\content\examples\Savage\Weapons\Guns\Lightweight155mmHowitzer.json
14 January 2005	LT Patrick Sullivan	..\www.web3d.org\x3d\content\examples\Savage\Weapons\Ammunition\SM2Canister.json
14 January 2005	LT Patrick Sullivan	..\www.web3d.org\x3d\content\examples\Savage\Weapons\CrewServedWeapons\TwentyFiveMm.json
14 January 2005	LT Patrick Sullivan	..\www.web3d.org\x3d\content\examples\Savage\Weapons\CrewServedWeapons\M60.json
14 January 2005	LT Patrick Sullivan	..\www.web3d.org\x3d\content\examples\Savage\Weapons\CrewServedWeapons\FiftyCaliber.json
28 November 2019	Planet9 Studios	..\www.web3d.org\x3d\content\examples\Savage\Tools\VRML1\BenningWithTexture.json
11 Sept 2006	Alan Hudson	..\www.web3d.org\x3d\content\examples\Savage\Tools\Symbology\ZonePrototype.json
11 September 2006	Alan Hudson	..\www.web3d.org\x3d\content\examples\Savage\Tools\Symbology\ZoneExample.json
3 August 2006	LT Patrick Sullivan	..\www.web3d.org\x3d\content\examples\Savage\Tools\Symbology\WeaponsCoveragePrototype.json
11 Sept 2006	Alan Hudson	..\www.web3d.org\x3d\content\examples\Savage\Tools\Symbology\WeaponsCoverageExample.json
3 August 2006	LT Patrick Sullivan	..\www.web3d.org\x3d\content\examples\Savage\Tools\Symbology\WeaponsCoverage.json
11 February 2006	LT Patrick Sullivan	..\www.web3d.org\x3d\content\examples\Savage\Tools\Symbology\NTDSPrototypes.json
11 February 2006	LT Patrick Sullivan	..\www.web3d.org\x3d\content\examples\Savage\Tools\Symbology\NTDSExternProtoExamples.json
27 July 2006	LT Patrick Sullivan	..\www.web3d.org\x3d\content\examples\Savage\Tools\Symbology\ExclusionZonePrototype.json
11 September 2006	Alan Hudson	..\www.web3d.org\x3d\content\examples\Savage\Tools\Symbology\ExclusionZoneExample.json
17 May 2011	Don Brutzman and Elaine Reid	..\www.web3d.org\x3d\content\examples\Savage\Tools\Visualization\XslOutput7.json
17 May 2011	Don Brutzman and Elaine Reid	..\www.web3d.org\x3d\content\examples\Savage\Tools\Visualization\XslOutput31JAN2010.json
17 May 2011	Don Brutzman and Elaine Reid	..\www.web3d.org\x3d\content\examples\Savage\Tools\Visualization\XslOutput30JAN2010.json
17 May 2011	Don Brutzman and Elaine Reid	..\www.web3d.org\x3d\content\examples\Savage\Tools\Visualization\XslOutput29JAN2010.json
17 May 2011	Don Brutzman and Elaine Reid	..\www.web3d.org\x3d\content\examples\Savage\Tools\Visualization\XslOutput28JAN2010.json
17 May 2011	Don Brutzman and Elaine Reid	..\www.web3d.org\x3d\content\examples\Savage\Tools\Visualization\XslOutput27JAN2010.json
17 May 2011	Don Brutzman and Elaine Reid	..\www.web3d.org\x3d\content\examples\Savage\Tools\Visualization\XslOutput26JAN2010.json
17 May 2011	Don Brutzman and Elaine Reid	..\www.web3d.org\x3d\content\examples\Savage\Tools\Visualization\XslOutput25JAN2010.json
17 May 2011	Don Brutzman and Elaine Reid	..\www.web3d.org\x3d\content\examples\Savage\Tools\Visualization\XslOutput24JAN2010.json
17 May 2011	Don Brutzman and Elaine Reid	..\www.web3d.org\x3d\content\examples\Savage\Tools\Visualization\XslOutput23JAN2010.json
17 May 2011	Don Brutzman and Elaine Reid	..\www.web3d.org\x3d\content\examples\Savage\Tools\Visualization\XslOutput23FEB2010.json
